"Source","FEATUREID","NextDownID","Shape_Leng","LengthKM"
"Delineation",201480086,201480107,1243.83550306,1.24383550306
"Delineation",201480087,201480107,2252.91803076,2.25291803076
"Delineation",201480106,201480179,419.990346707,0.41999034671
"Delineation",201480107,201480179,159.529189988,0.15952918999
"Delineation",201480175,201480462,255.13216332,0.25513216332
"Delineation",201480176,201480462,1161.05682865,1.16105682865
"Delineation",201480179,201480295,627.77709268,0.62777709268
"Delineation",201480240,201480295,1272.78914957,1.27278914957
"Delineation",201480295,201480461,1490.25539788,1.49025539788
"Delineation",201480296,201480461,1416.576075,1.416576075
"Delineation",201480451,201480643,830.231410125,0.83023141013
"Delineation",201480452,201480643,679.37536582,0.67937536582
"Delineation",201480461,201480635,1579.58904896,1.57958904896
"Delineation",201480462,201480635,2484.68670483,2.48468670483
"Delineation",201480602,201480704,502.86673805,0.50286673805
"Delineation",201480603,201480704,3951.81735753,3.95181735753
"Delineation",201480635,201480820,1320.65449475,1.32065449475
"Delineation",201480636,201480820,2440.26492592,2.44026492592
"Delineation",201480643,201480703,2303.43852711,2.30343852711
"Delineation",201480644,201480703,1975.01882129,1.97501882129
"Delineation",201480703,201480839,426.449593163,0.42644959316
"Delineation",201480704,201480839,870.378988851,0.87037898885
"Delineation",201480820,201481130,1405.2314503,1.4052314503
"Delineation",201480821,201481130,607.322502235,0.60732250223
"Delineation",201480839,201481088,1097.79356046,1.09779356046
"Delineation",201480883,201481022,2182.89468489,2.18289468489
"Delineation",201480884,201481022,3866.35046611,3.86635046611
"Delineation",201480921,201481088,1476.60669962,1.47660669962
"Delineation",201480949,201481021,1849.23359925,1.84923359925
"Delineation",201480952,201481021,975.440959855,0.97544095986
"Delineation",201481013,201481072,2890.51534628,2.89051534628
"Delineation",201481017,201481145,1490.58004276,1.49058004276
"Delineation",201481018,201481145,1789.64975685,1.78964975685
"Delineation",201481021,201481175,1238.45359463,1.23845359463
"Delineation",201481022,201481175,1628.09751459,1.62809751459
"Delineation",201481059,201481111,2302.02638889,2.30202638889
"Delineation",201481072,201481111,1487.21104278,1.48721104278
"Delineation",201481087,201481072,767.657710204,0.7676577102
"Delineation",201481088,201481087,2773.76075716,2.77376075716
"Delineation",201481100,201481146,835.113452135,0.83511345213
"Delineation",201481111,201481146,988.061546933,0.98806154693
"Delineation",201481129,201481263,144.936157565,0.14493615757
"Delineation",201481130,201481263,2931.81758914,2.93181758914
"Delineation",201481135,201481456,1478.4889087,1.4784889087
"Delineation",201481139,201481279,3074.35852694,3.07435852694
"Delineation",201481142,201481456,1355.30049826,1.35530049826
"Delineation",201481144,201481278,161.883835052,0.16188383505
"Delineation",201481145,201481278,1260.52809034,1.26052809034
"Delineation",201481146,201481279,1091.48599871,1.09148599871
"Delineation",201481169,201481503,1700.63244962,1.70063244962
"Delineation",201481175,201481289,2691.42157474,2.69142157474
"Delineation",201481176,201481289,1418.57993533,1.41857993533
"Delineation",201481187,201481503,1765.60514242,1.76560514242
"Delineation",201481263,201481290,925.733590066,0.92573359007
"Delineation",201481278,201481302,1173.11963679,1.17311963679
"Delineation",201481279,201481302,1417.00751886,1.41700751886
"Delineation",201481284,201481296,1798.79872374,1.79879872374
"Delineation",201481289,201481544,855.429325359,0.85542932536
"Delineation",201481290,201481544,289.288760885,0.28928876088
"Delineation",201481296,201481310,324.595509285,0.32459550928
"Delineation",201481302,201481373,265.591872046,0.26559187205
"Delineation",201481310,201481373,1283.07356192,1.28307356192
"Delineation",201481315,201481087,5244.896455,5.244896455
"Delineation",201481321,201481290,1464.51578844,1.46451578844
"Delineation",201481322,201481284,1544.38843969,1.54438843969
"Delineation",201481330,201481296,479.867748042,0.47986774804
"Delineation",201481373,201481408,868.295674216,0.86829567422
"Delineation",201481375,201481284,1544.48354666,1.54448354666
"Delineation",201481382,201481408,621.029775244,0.62102977524
"Delineation",201481404,201481511,2302.82592551,2.30282592551
"Delineation",201481407,201481636,294.47747336,0.29447747336
"Delineation",201481408,201481511,869.43011729,0.86943011729
"Delineation",201481435,201481310,1357.19562904,1.35719562904
"Delineation",201481455,201481574,133.620664242,0.13362066424
"Delineation",201481456,201481574,3231.45842139,3.23145842139
"Delineation",201481469,201481636,1000.97271722,1.00097271722
"Delineation",201481478,201481535,882.704516004,0.882704516
"Delineation",201481479,201481535,174.290498589,0.17429049859
"Delineation",201481498,201481659,2000.23507919,2.00023507919
"Delineation",201481500,201481733,828.814326381,0.82881432638
"Delineation",201481501,201481733,1221.79560907,1.22179560907
"Delineation",201481502,201481600,3893.36158337,3.89336158337
"Delineation",201481503,201481600,2806.89452043,2.80689452043
"Delineation",201481511,201481659,1664.93989836,1.66493989836
"Delineation",201481514,201481538,594.848737175,0.59484873717
"Delineation",201481515,201481538,440.585937197,0.4405859372
"Delineation",201481532,201481435,729.791983535,0.72979198353
"Delineation",201481535,201481537,845.958505734,0.84595850573
