HydroID,NextDown,SqMi,CFPct85,CFPct90,CFPct95,CFPct02,CFPct06,CFPct10,CFPct15
1,2.13882E+12,6479.91262,0.327692073,0.310092533,0.295622304,0.284366324,0.279235486,0.275928887,0.276351979
201480086,201480107,0.851355,NA,NA,NA,NA,NA,NA,NA
201480087,201480107,1.188075,NA,NA,NA,NA,NA,NA,NA
201480106,201480179,0.36765,NA,NA,NA,NA,NA,NA,NA
201480107,604440393,2.049507,NA,NA,NA,NA,NA,NA,NA
201480175,201480462,0.315523,NA,NA,NA,NA,NA,NA,NA
201480176,201480462,0.920161,NA,NA,NA,NA,NA,NA,NA
201480179,1007400867,2.603065,NA,NA,NA,NA,NA,NA,NA
201480240,201480295,0.754748,NA,NA,NA,NA,NA,NA,NA
201480295,1410361623,3.996851,NA,NA,NA,NA,NA,NA,NA
201480296,201480461,0.52367,NA,NA,NA,NA,NA,NA,NA
201480451,201480643,0.502473,NA,NA,NA,NA,NA,NA,NA
201480452,201480643,0.448612,NA,NA,NA,NA,NA,NA,NA
201480461,1813322719,5.076508,NA,NA,NA,NA,NA,NA,NA
201480462,604441559,2.419934,NA,NA,NA,NA,NA,NA,NA
201480602,201480704,0.352357,NA,NA,NA,NA,NA,NA,NA
201480603,201480704,3.604187,NA,NA,NA,NA,NA,NA,NA
201480635,2619245098,8.052777,NA,NA,NA,NA,NA,NA,NA
201480636,201480820,1.208578,NA,NA,NA,NA,NA,NA,NA
201480643,604441989,1.525142,NA,NA,NA,NA,NA,NA,NA
201480644,201480703,0.596296,NA,NA,NA,NA,NA,NA,NA
201480703,1007403531,2.154102,NA,NA,NA,NA,NA,NA,NA
201480704,604442247,4.203611,NA,NA,NA,NA,NA,NA,NA
201480820,3022207048,9.774948,NA,NA,NA,NA,NA,NA,NA
201480821,201481130,0.610546,NA,NA,NA,NA,NA,NA,NA
201480839,1813326866,6.796943,NA,NA,NA,NA,NA,NA,NA
201480883,201481022,1.198846,NA,NA,NA,NA,NA,NA,NA
201480884,201481022,1.414989,NA,NA,NA,NA,NA,NA,NA
201480921,201481088,0.898962,NA,NA,NA,NA,NA,NA,NA
201480949,201481021,1.004599,NA,NA,NA,NA,NA,NA,NA
201480952,201481021,0.711316,NA,NA,NA,NA,NA,NA,NA
201481013,201481072,1.502903,NA,NA,NA,NA,NA,NA,NA
201481017,201481145,0.626876,NA,NA,NA,NA,NA,NA,NA
201481018,201481145,0.643208,NA,NA,NA,NA,NA,NA,NA
201481021,604443217,2.157578,NA,NA,NA,NA,NA,NA,NA
201481022,604443219,3.180594,NA,NA,NA,NA,NA,NA,NA
201481059,201481111,1.409774,NA,NA,NA,NA,NA,NA,NA
201481072,3022213383,14.828526,NA,NA,NA,NA,NA,NA,NA
201481087,2619251200,12.901335,NA,NA,NA,NA,NA,NA,NA
201481088,2216289041,8.674095,NA,NA,NA,NA,NA,NA,NA
201481100,201481146,0.918073,NA,NA,NA,NA,NA,NA,NA
