"HydroID","cnt","ag_1985_sum","ag_1990_sum","ag_1995_sum","ag_2002_sum","ag_2006_sum","ag_2010_sum","ag_2015_sum"
201480086,0,0,0,0,0,0,0,0
201480087,0,0,0,0,0,0,0,0
201480106,0,0,0,0,0,0,0,0
201480107,0,0,0,0,0,0,0,0
201480175,0,0,0,0,0,0,0,0
201480176,0,0,0,0,0,0,0,0
201480179,0,0,0,0,0,0,0,0
201480240,0,0,0,0,0,0,0,0
201480295,0,0,0,0,0,0,0,0
201480296,0,0,0,0,0,0,0,0
201480451,0,0,0,0,0,0,0,0
201480452,0,0,0,0,0,0,0,0
201480461,0,0,0,0,0,0,0,0
201480462,0,0,0,0,0,0,0,0
201480602,0,0,0,0,0,0,0,0
201480603,0,0,0,0,0,0,0,0
201480635,0,0,0,0,0,0,0,0
201480636,0,0,0,0,0,0,0,0
201480643,0,0,0,0,0,0,0,0
201480644,0,0,0,0,0,0,0,0
201480703,0,0,0,0,0,0,0,0
201480704,0,0,0,0,0,0,0,0
201480820,0,0,0,0,0,0,0,0
201480821,0,0,0,0,0,0,0,0
201480839,0,0,0,0,0,0,0,0
201480883,0,0,0,0,0,0,0,0
201480884,0,0,0,0,0,0,0,0
201480921,0,0,0,0,0,0,0,0
201480949,0,0,0,0,0,0,0,0
201480952,0,0,0,0,0,0,0,0
201481013,0,0,0,0,0,0,0,0
201481017,0,0,0,0,0,0,0,0
201481018,0,0,0,0,0,0,0,0
201481021,0,0,0,0,0,0,0,0
201481022,0,0,0,0,0,0,0,0
201481059,0,0,0,0,0,0,0,0
201481072,0,0,0,0,0,0,0,0
201481087,0,0,0,0,0,0,0,0
201481088,0,0,0,0,0,0,0,0
201481100,0,0,0,0,0,0,0,0
201481111,0,0,0,0,0,0,0,0
201481129,0,0,0,0,0,0,0,0
201481130,0,0,0,0,0,0,0,0
201481135,2102,181,184,206,194,126,126,126
201481139,0,0,0,0,0,0,0,0
201481142,2219,29,37,36,29,29,29,29
201481144,0,0,0,0,0,0,0,0
201481145,0,0,0,0,0,0,0,0
201481146,0,0,0,0,0,0,0,0
201481169,0,0,0,0,0,0,0,0
201481175,0,0,0,0,0,0,0,0
201481176,0,0,0,0,0,0,0,0
201481187,0,0,0,0,0,0,0,0
201481263,0,0,0,0,0,0,0,0
201481278,0,0,0,0,0,0,0,0
201481279,0,0,0,0,0,0,0,0
201481284,0,0,0,0,0,0,0,0
201481289,0,0,0,0,0,0,0,0
201481290,0,0,0,0,0,0,0,0
201481296,0,0,0,0,0,0,0,0
201481302,0,0,0,0,0,0,0,0
201481310,0,0,0,0,0,0,0,0
201481315,0,0,0,0,0,0,0,0
201481321,0,0,0,0,0,0,0,0
201481322,0,0,0,0,0,0,0,0
201481330,0,0,0,0,0,0,0,0
201481373,0,0,0,0,0,0,0,0
201481375,0,0,0,0,0,0,0,0
201481382,0,0,0,0,0,0,0,0
201481404,0,0,0,0,0,0,0,0
201481407,0,0,0,0,0,0,0,0
201481408,0,0,0,0,0,0,0,0
201481435,0,0,0,0,0,0,0,0
201481455,1067,25,25,25,25,25,25,25
201481456,4159,421,421,422,370,307,307,307
201481469,0,0,0,0,0,0,0,0
201481478,1556,437,366,359,351,335,335,335
201481479,923,252,249,249,249,249,249,229
201481498,0,0,0,0,0,0,0,0
201481500,1188,26,26,27,26,26,26,26
201481501,1450,0,0,10,18,7,7,9
201481502,0,0,0,0,0,0,0,0
201481503,0,0,0,0,0,0,0,0
201481511,0,0,0,0,0,0,0,0
201481514,1314,267,267,267,266,217,217,216
201481515,945,19,19,19,19,18,18,18
201481532,0,0,0,0,0,0,0,0
201481535,485,1,1,1,1,1,1,1
201481537,3,0,0,0,0,0,0,0
201481538,42,0,0,0,0,0,0,0
201481544,0,0,0,0,0,0,0,0
201481545,0,0,0,0,0,0,0,0
201481574,1099,73,73,74,74,74,74,74
201481575,937,0,0,7,5,5,5,5
201481599,0,0,0,0,0,0,0,0
201481600,0,0,0,0,0,0,0,0
201481627,0,0,0,0,0,0,0,0
201481628,0,0,0,0,0,0,0,0
201481634,0,0,0,0,0,0,0,0
201481635,0,0,0,0,0,0,0,0
201481636,0,0,0,0,0,0,0,0
201481641,0,0,0,0,0,0,0,0
201481642,2909,159,154,154,153,153,153,152
201481644,0,0,0,0,0,0,0,0
201481648,0,0,0,0,0,0,0,0
201481651,0,0,0,0,0,0,0,0
201481652,0,0,0,0,0,0,0,0
201481659,0,0,0,0,0,0,0,0
201481663,0,0,0,0,0,0,0,0
201481664,0,0,0,0,0,0,0,0
201481665,0,0,0,0,0,0,0,0
201481667,758,0,0,0,0,0,0,0
201481668,953,46,46,46,46,46,46,46
201481671,0,0,0,0,0,0,0,0
201481681,0,0,0,0,0,0,0,0
201481682,0,0,0,0,0,0,0,0
201481688,0,0,0,0,0,0,0,0
201481689,0,0,0,0,0,0,0,0
201481699,0,0,0,0,0,0,0,0
201481700,0,0,0,0,0,0,0,0
201481711,0,0,0,0,0,0,0,0
201481712,0,0,0,0,0,0,0,0
201481732,1254,0,0,0,0,0,0,0
201481733,1705,0,0,0,0,0,0,0
201481739,0,0,0,0,0,0,0,0
201481740,0,0,0,0,0,0,0,0
201481741,0,0,0,0,0,0,0,0
201481746,0,0,0,0,0,0,0,0
201481747,0,0,0,0,0,0,0,0
201481748,1028,16,16,42,63,34,34,33
201481762,21,0,0,0,0,0,0,0
201481796,0,0,0,0,0,0,0,0
201481800,1042,105,105,105,105,105,105,105
201481824,0,0,0,0,0,0,0,0
201481825,0,0,0,0,0,0,0,0
201481831,2592,83,83,83,110,110,109,109
201481873,0,0,0,0,0,0,0,0
201481887,0,0,0,0,0,0,0,0
201481902,0,0,0,0,0,0,0,0
201481912,1244,167,167,167,172,172,172,172
201481922,2161,0,0,0,0,0,0,0
201481938,0,0,0,0,0,0,0,0
201481940,0,0,0,0,0,0,0,0
201481946,0,0,0,0,0,0,0,0
201481949,92,0,0,0,0,0,0,0
201481954,1475,180,180,171,169,172,167,172
201481955,0,0,0,0,0,0,0,0
201481972,1494,133,133,133,131,136,136,136
201481977,44,0,0,0,0,0,0,0
201481982,0,0,0,0,0,0,0,0
201481985,1619,20,20,20,20,20,20,20
201481986,39,0,0,0,0,0,0,0
201481990,0,0,0,0,0,0,0,0
201482005,0,0,0,0,0,0,0,0
201482006,0,0,0,0,0,0,0,0
201482012,0,0,0,0,0,0,0,0
201482013,0,0,0,0,0,0,0,0
201482014,0,0,0,0,0,0,0,0
201482016,0,0,0,0,0,0,0,0
201482017,0,0,0,0,0,0,0,0
201482031,1433,126,125,130,130,130,130,126
201482037,1424,161,161,168,169,168,168,168
201482041,0,0,0,0,0,0,0,0
201482047,0,0,0,0,0,0,0,0
201482055,0,0,0,0,0,0,0,0
201482058,1970,120,120,120,119,107,107,104
201482059,0,0,0,0,0,0,0,0
201482062,1587,17,0,0,0,0,0,0
201482072,0,0,0,0,0,0,0,0
201482103,2956,127,127,127,127,127,127,127
201482104,78,0,0,0,0,0,0,0
201482117,0,0,0,0,0,0,0,0
201482118,0,0,0,0,0,0,0,0
201482134,0,0,0,0,0,0,0,0
201482135,1199,47,47,46,46,46,46,46
201482137,0,0,0,0,0,0,0,0
201482138,0,0,0,0,0,0,0,0
201482145,0,0,0,0,0,0,0,0
201482158,0,0,0,0,0,0,0,0
201482159,983,0,0,0,0,0,0,0
201482170,0,0,0,0,0,0,0,0
201482171,0,0,0,0,0,0,0,0
201482175,1283,75,75,84,84,84,84,84
201482177,0,0,0,0,0,0,0,0
201482197,0,0,0,0,0,0,0,0
201482198,0,0,0,0,0,0,0,0
201482203,0,0,0,0,0,0,0,0
201482231,0,0,0,0,0,0,0,0
201482239,0,0,0,0,0,0,0,0
201482249,0,0,0,0,0,0,0,0
201482255,0,0,0,0,0,0,0,0
201482256,0,0,0,0,0,0,0,0
201482257,0,0,0,0,0,0,0,0
201482264,0,0,0,0,0,0,0,0
201482265,0,0,0,0,0,0,0,0
201482285,0,0,0,0,0,0,0,0
201482286,0,0,0,0,0,0,0,0
201482294,0,0,0,0,0,0,0,0
201482314,0,0,0,0,0,0,0,0
201482317,2343,101,7,7,0,0,0,0
201482329,0,0,0,0,0,0,0,0
201482333,0,0,0,0,0,0,0,0
201482361,1026,6,0,0,0,0,0,0
201482362,910,23,0,0,0,0,0,0
201482364,0,0,0,0,0,0,0,0
201482365,0,0,0,0,0,0,0,0
201482369,0,0,0,0,0,0,0,0
201482382,0,0,0,0,0,0,0,0
201482386,0,0,0,0,0,0,0,0
201482387,0,0,0,0,0,0,0,0
201482391,0,0,0,0,0,0,0,0
201482392,0,0,0,0,0,0,0,0
201482398,4465,230,221,219,167,167,167,163
201482409,0,0,0,0,0,0,0,0
201482428,0,0,0,0,0,0,0,0
201482430,0,0,0,0,0,0,0,0
201482434,0,0,0,0,0,0,0,0
201482435,0,0,0,0,0,0,0,0
201482444,0,0,0,0,0,0,0,0
201482456,0,0,0,0,0,0,0,0
201482467,2405,93,91,91,76,76,76,76
201482476,0,0,0,0,0,0,0,0
201482491,0,0,0,0,0,0,0,0
201482505,0,0,0,0,0,0,0,0
201482538,0,0,0,0,0,0,0,0
201482543,0,0,0,0,0,0,0,0
201482548,960,59,59,59,59,59,59,59
201482549,1734,244,235,234,234,231,241,241
201482556,1849,43,43,61,60,62,59,60
201482557,965,72,72,70,88,88,88,93
201482564,0,0,0,0,0,0,0,0
201482566,0,0,0,0,0,0,0,0
201482577,0,0,0,0,0,0,0,0
201482585,0,0,0,0,0,0,0,0
201482627,0,0,0,0,0,0,0,0
201482628,0,0,0,0,0,0,0,0
201482649,2590,34,34,34,34,34,34,34
201482650,228,0,0,0,0,0,0,0
201482655,5093,307,307,311,322,322,323,322
201482656,2724,23,23,23,33,33,33,33
201482658,0,0,0,0,0,0,0,0
201482663,0,0,0,0,0,0,0,0
201482670,0,0,0,0,0,0,0,0
201482671,0,0,0,0,0,0,0,0
201482681,0,0,0,0,0,0,0,0
201482683,0,0,0,0,0,0,0,0
201482686,0,0,0,0,0,0,0,0
201482687,0,0,0,0,0,0,0,0
201482692,0,0,0,0,0,0,0,0
201482709,0,0,0,0,0,0,0,0
201482714,0,0,0,0,0,0,0,0
201482715,0,0,0,0,0,0,0,0
201482716,0,0,0,0,0,0,0,0
