"area_sqkm","length_km","HydroID"
16782.894900213,25485.856683262,"1"
2.205,5.168898405,"201480086"
3.0771,4.206038318,"201480087"
0.9522,1.355942099,"201480106"
5.3082,9.544371503,"201480107"
0.8172,1.260074116,"201480175"
2.3832,2.367426048,"201480176"
6.7419,11.548846548,"201480179"
1.9548,3.195629989,"201480240"
10.3518,17.222109035,"201480295"
1.3563,1.867015059,"201480296"
1.3014,1.824896561,"201480451"
1.1619,1.727065666,"201480452"
13.1481,20.717810371,"201480461"
6.2676,6.307114539,"201480462"
0.9126,1.528145308,"201480602"
9.3348,6.156378321,"201480603"
20.8566,29.257943206,"201480635"
3.1302,3.696856308,"201480636"
3.9501,5.879604732,"201480643"
1.5444,2.386155572,"201480644"
5.5791,8.729464553,"201480703"
10.8873,8.909460787,"201480704"
25.317,34.605455157,"201480820"
1.5813,2.53582633,"201480821"
17.604,19.604729202,"201480839"
3.105,4.663433117,"201480883"
3.6648,5.249033779,"201480884"
2.3283,1.617344544,"201480921"
2.6019,3.828814359,"201480949"
1.8423,3.7779992,"201480952"
3.8925,3.01096104,"201481013"
1.6236,1.841396682,"201481017"
1.6659,2.442844685,"201481018"
5.5881,8.884790769,"201481021"
8.2377,11.71016415,"201481022"
3.6513,2.932104908,"201481059"
38.4057,35.744618302,"201481072"
33.4143,31.194135259,"201481087"
22.4658,24.17410167,"201481088"
2.3778,1.653824554,"201481100"
42.606,39.724056818,"201481111"
0.828,2.115332342,"201481129"
31.1589,41.422288753,"201481130"
1.9548,2.877351394,"201481135"
2.4489,3.612702415,"201481139"
2.0601,4.36447751,"201481142"
0.7695,1.015041547,"201481144"
4.4829,6.990261306,"201481145"
45.8577,43.18152002,"201481146"
2.7279,4.790594952,"201481169"
17.2206,23.618571887,"201481175"
1.4382,2.859736638,"201481176"
1.6083,3.008049736,"201481187"
33.0471,44.998016947,"201481263"
5.9544,9.246653015,"201481278"
48.8088,48.361579247,"201481279"
6.4989,5.952596169,"201481284"
19.1025,27.309169944,"201481289"
35.3565,47.868297872,"201481290"
8.0298,7.760110766,"201481296"
54.8001,57.870692929,"201481302"
81.5949,83.658066781,"201481310"
10.0224,6.227429887,"201481315"
2.0718,2.507704942,"201481321"
3.2373,1.61950088,"201481322"
1.467,1.459315815,"201481330"
136.8675,142.400601632,"201481373"
