staSeq,date,collectionMethod,totalInd,sampYr,sampMo,repNumber,subSampleRep,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
14148,10/16/1989,KN2M2,209,1989,10,1,First,3,0.5,4,0.5,3.5
14465,11/1/1989,KN2M2,200,1989,11,1,First,4,1,4,0,4
14226,11/2/1989,KN2M2,170,1989,11,1,First,5,1,5,0,5
14479,11/2/1989,KN2M2,192,1989,11,1,First,5,1,5,0,5
14314,11/7/1989,KN2M2,200,1989,11,1,First,2,1,2,0,2
14492,11/7/1989,KN2M2,180,1989,11,1,First,3,0.794117647,2,0.205882353,2.794117647
14383,11/28/1989,KN2M2,190,1989,11,1,First,5,0.75,6,0.25,5.25
14391,11/28/1989,KN2M2,158,1989,11,1,First,5,1,5,0,5
14383,10/31/1990,KN2M2,233,1990,10,1,First,5,1,5,0,5
14389,10/31/1990,KN2M2,212,1990,10,1,First,5,1,5,0,5
14390,10/31/1990,KN2M2,202,1990,10,1,First,5,1,5,0,5
14391,10/31/1990,KN2M2,109,1990,10,1,First,5,0.9,6,0.1,5.1
14392,10/31/1990,KN2M2,195,1990,10,1,First,6,0.75,5,0.25,5.75
14393,11/2/1990,KN2M2,198,1990,11,1,First,5,1,5,0,5
14132,11/28/1990,KN2M2,229,1990,11,1,First,3,1,3,0,3
14413,10/9/1991,KN2M2,223,1991,10,1,First,5,0.75,6,0.25,5.25
14421,10/9/1991,KN2M2,256,1991,10,1,First,6,1,6,0,6
14414,10/10/1991,KN2M2,225,1991,10,1,First,5,1,5,0,5
14314,10/22/1991,KN2M2,198,1991,10,1,First,2,1,2,0,2
14441,10/23/1991,KN2M2,190,1991,10,1,First,3,1,3,0,3
14444,10/24/1991,KN2M2,196,1991,10,1,First,3,1,3,0,3
14450,10/24/1991,KN2M2,207,1991,10,1,First,3,1,3,0,3
14458,10/24/1991,KN2M2,165,1991,10,1,First,5,1,5,0,5
14465,10/29/1991,KN2M2,256,1991,10,1,First,4,1,4,0,4
14317,11/5/1991,KN2M2,221,1991,11,1,First,5,1,5,0,5
14318,11/5/1991,KN2M2,212,1991,11,1,First,5,1,5,0,5
14323,11/5/1991,KN2M2,202,1991,11,1,First,5,0.75,6,0.25,5.25
14334,11/5/1991,KN2M2,187,1991,11,1,First,5,1,5,0,5
14339,11/5/1991,KN2M2,195,1991,11,1,First,5,1,5,0,5
14284,11/6/1991,KN2M2,155,1991,11,1,First,5,0.5,6,0.5,5.5
14324,11/6/1991,KN2M2,199,1991,11,1,First,5,1,5,0,5
14328,11/6/1991,KN2M2,181,1991,11,1,First,6,0.75,5,0.25,5.75
14331,11/6/1991,KN2M2,215,1991,11,1,First,5,1,5,0,5
14316,11/7/1991,KN2M2,203,1991,11,1,First,6,0.75,5,0.25,5.75
14348,11/7/1991,KN2M2,249,1991,11,1,First,5,1,5,0,5
14175,11/8/1991,KN2M2,148,1991,11,1,First,5,0.75,4,0.25,4.75
14341,11/8/1991,KN2M2,208,1991,11,1,First,5,1,5,0,5
14482,11/8/1991,KN2M2,204,1991,11,1,First,4,1,4,0,4
14923,11/8/1991,KN2M2,201,1991,11,1,First,5,1,5,0,5
14388,11/19/1991,KN2M2,197,1991,11,1,First,3,0.5,4,0.5,3.5
14392,11/19/1991,KN2M2,192,1991,11,1,First,5,1,5,0,5
14393,11/19/1991,KN2M2,205,1991,11,1,First,5,1,5,0,5
14402,11/19/1991,KN2M2,189,1991,11,1,First,3,1,3,0,3
14383,11/20/1991,KN2M2,199,1991,11,1,First,5,1,5,0,5
14385,11/20/1991,KN2M2,160,1991,11,1,First,5,1,5,0,5
14389,11/20/1991,KN2M2,188,1991,11,1,First,5,1,5,0,5
14288,10/23/1992,KN2M2,202,1992,10,1,First,5,1,5,0,5
14284,10/28/1992,KN2M2,198,1992,10,1,First,5,1,5,0,5
14413,10/28/1992,KN2M2,217,1992,10,1,First,5,1,5,0,5
14235,10/29/1992,KN2M2,198,1992,10,1,First,5,1,5,0,5
