"staSeq","date","sampYr","lev1Name","lev1Memb","lev2Name","lev2Memb","levPropNum","taxa","hq","hydroID"
14126,"1997-11-19",1997,3,0.5,4,0.5,3.5,"bug",0,201496904
14126,"2013-10-09",2013,4,1,4,0,4,"bug",0,201496904
14128,"1997-10-09",1997,3,1,3,0,3,"bug",0,201493421
14128,"1992-08-11",1992,3,0.91339648,2,0.086603518,2.913396477,"fish",0,201493421
14128,"2016-09-29",2016,4,1,4,0,4,"bug",0,201493421
14128,"2011-11-09",2011,3,0.5,4,0.5,3.5,"bug",0,201493421
14128,"2006-09-26",2006,3,0.5,4,0.5,3.5,"bug",0,201493421
14128,"2011-07-08",2011,3,0.5,4,0.28431373,3.068627469,"fish",0,201493421
14129,"1991-06-17",1991,3,0.58227848,2,0.417721519,2.582278478,"fish",0,201495297
14129,"2006-08-09",2006,6,1,NA,0,6,"fish",0,201495297
14129,"2011-07-27",2011,3,0.83333333,2,0.166666667,2.833333323,"fish",0,201495297
14129,"2018-08-10",2018,3,1,NA,0,3,"fish",0,201495297
14129,"2016-10-05",2016,4,1,4,0,4,"bug",0,201495297
14129,"2011-10-20",2011,4,1,4,0,4,"bug",0,201495297
14129,"2016-07-22",2016,3,1,NA,0,3,"fish",0,201495297
14129,"2006-10-06",2006,4,1,4,0,4,"bug",0,201495297
14129,"2015-09-28",2015,4,1,4,0,4,"bug",0,201495297
14130,"2004-11-08",2004,5,0.5,6,0.5,5.5,"bug",0,201494586
14130,"1991-07-09",1991,5,1,NA,0,5,"fish",0,201494586
14130,"2019-07-08",2019,4,1,NA,0,4,"fish",0,201494586
14132,"1996-11-06",1996,3,1,3,0,3,"bug",0,201489066
14132,"1990-11-28",1990,3,1,3,0,3,"bug",0,201489066
14132,"2006-10-17",2006,4,1,4,0,4,"bug",0,201489066
14133,"2011-07-11",2011,2,0.689440994,3,0.31055901,2.310559018,"fish",1,201489136
14137,"2009-07-20",2009,2,0.926253687,3,0.07374631,2.073746305,"fish",1,201492502
14137,"2008-10-16",2008,3,1,3,0,3,"bug",0,201492502
14137,"2012-10-10",2012,2,0.865853659,3,0.134146341,2.134146341,"bug",1,201492502
14137,"2017-06-23",2017,3,1,NA,0,3,"fish",0,201492502
14137,"1998-10-27",1998,2,0.75,3,0.25,2.25,"bug",1,201492502
14138,"2000-10-16",2000,5,1,5,0,5,"bug",0,201495872
14138,"1999-08-02",1999,3,0.87299035,2,0.127009646,2.872990343,"fish",0,201495872
14138,"1996-11-01",1996,5,0.878640777,4,0.121359223,4.878640777,"bug",0,201495872
14139,"1996-10-31",1996,3,1,3,0,3,"bug",0,201495872
14141,"1994-06-22",1994,2,1,NA,0,2,"fish",1,201487754
14141,"2018-07-17",2018,3,1,NA,0,3,"fish",0,201487754
14145,"2006-10-24",2006,5,1,5,0,5,"bug",0,201493559
14146,"1997-10-17",1997,4,0.531914894,5,0.468085106,4.468085106,"bug",0,201496101
14146,"2007-10-11",2007,3,0.5,4,0.5,3.5,"bug",0,201496101
14146,"2007-07-23",2007,4,1,NA,0,4,"fish",0,201496101
14146,"2012-07-05",2012,4,0.84677419,3,0.153225806,3.846774179,"fish",0,201496101
14146,"2013-07-30",2013,4,0.93956044,3,0.06043956,3.939560441,"fish",0,201496101
14146,"1990-06-26",1990,3,0.808201058,4,0.19179894,3.191798935,"fish",0,201496101
14146,"2013-09-17",2013,5,1,5,0,5,"bug",0,201496101
14147,"2008-10-02",2008,5,1,5,0,5,"bug",0,201488625
14147,"2004-10-04",2004,5,1,5,0,5,"bug",0,201488625
14147,"2014-09-15",2014,5,1,5,0,5,"bug",0,201488625
14147,"2012-10-17",2012,5,1,5,0,5,"bug",0,201488625
14147,"2017-06-15",2017,3,0.597402597,4,0.4025974,3.402597392,"fish",0,201488625
14147,"2010-11-03",2010,4,0.5,5,0.5,4.5,"bug",0,201488625
14147,"1999-06-24",1999,2,0.768907563,3,0.23109244,2.231092446,"fish",1,201488625
14147,"2008-07-09",2008,4,0.7233677,3,0.276632302,3.723367707,"fish",0,201488625
14147,"1998-10-22",1998,5,1,5,0,5,"bug",0,201488625
14147,"1993-11-03",1993,5,1,5,0,5,"bug",0,201488625
14148,"1998-10-20",1998,3,1,3,0,3,"bug",0,201491607
14148,"1989-10-16",1989,3,0.5,4,0.5,3.5,"bug",0,201491607
14148,"2008-09-15",2008,4,1,4,0,4,"bug",0,201491607
14148,"2008-06-10",2008,5,1,NA,0,5,"fish",0,201491607
14150,"1999-08-09",1999,4,0.521505376,5,0.47849462,4.478494605,"fish",0,201497248
14150,"2007-10-18",2007,5,1,5,0,5,"bug",0,201497248
14150,"1990-08-20",1990,5,1,NA,0,5,"fish",0,201497248
14150,"2009-09-29",2009,5,1,5,0,5,"bug",0,201497248
14150,"1997-10-20",1997,5,1,5,0,5,"bug",0,201497248
14150,"2007-06-12",2007,6,1,NA,0,6,"fish",0,201497248
14152,"2007-07-30",2007,1,1,NA,0,1,"fish",1,201489052
14153,"2008-08-01",2008,4,0.53333333,3,0.466666667,3.53333332,"fish",0,201493772
14153,"2012-09-17",2012,5,0.623481781,4,0.376518219,4.623481781,"bug",0,201493772
14153,"2008-09-23",2008,4,1,4,0,4,"bug",0,201493772
14153,"1998-10-02",1998,4,1,4,0,4,"bug",0,201493772
14153,"2014-10-02",2014,4,1,4,0,4,"bug",0,201493772
14153,"2010-09-23",2010,4,1,4,0,4,"bug",0,201493772
14153,"2017-06-22",2017,4,1,NA,0,4,"fish",0,201493772
14156,"2006-09-20",2006,5,1,5,0,5,"bug",0,201496901
14156,"2006-07-19",2006,5,1,NA,0,5,"fish",0,201496901
14157,"2011-07-06",2011,5,1,NA,0,5,"fish",0,201496747
14158,"1998-10-01",1998,4,1,4,0,4,"bug",0,201492736
14158,"2008-10-07",2008,5,1,5,0,5,"bug",0,201492736
14162,"1993-06-21",1993,5,0.666666667,6,0.33333333,5.333333313,"fish",0,201494387
14164,"2010-07-26",2010,6,1,NA,0,6,"fish",0,201494587
14164,"2001-07-18",2001,6,0.55376344,5,0.446236559,5.553763436,"fish",0,201494587
14165,"2012-07-03",2012,5,1,NA,0,5,"fish",0,201493580
14168,"2011-07-26",2011,4,1,NA,0,4,"fish",0,201496121
14169,"2016-08-15",2016,4,1,NA,0,4,"fish",0,201496121
14169,"2012-06-19",2012,4,1,NA,0,4,"fish",0,201496121
14172,"2006-10-11",2006,3,0.5,4,0.5,3.5,"bug",0,201496121
14172,"2013-09-26",2013,4,1,4,0,4,"bug",0,201496121
14172,"2011-11-07",2011,4,0.75,5,0.25,4.25,"bug",0,201496121
14172,"2016-10-21",2016,4,1,4,0,4,"bug",0,201496121
14174,"2012-07-11",2012,4,1,NA,0,4,"fish",0,201494448
14174,"2008-10-09",2008,3,1,3,0,3,"bug",0,201494448
14174,"1998-10-29",1998,3,0.763157895,2,0.236842105,2.763157895,"bug",0,201494448
14174,"2009-06-24",2009,3,0.743902439,4,0.25609756,3.256097557,"fish",0,201494448
14174,"2010-07-15",2010,3,1,NA,0,3,"fish",0,201494448
14174,"2014-10-02",2014,3,1,3,0,3,"bug",0,201494448
14174,"2012-10-15",2012,3,1,3,0,3,"bug",0,201494448
14175,"1991-11-08",1991,5,0.75,4,0.25,4.75,"bug",0,201491547
14176,"2004-10-06",2004,4,0.80952381,3,0.19047619,3.80952381,"bug",0,201491547
14176,"2006-10-05",2006,4,1,4,0,4,"bug",0,201491547
14177,"2019-08-01",2019,5,1,NA,0,5,"fish",0,201491547
14179,"1999-07-23",1999,3,1,NA,0,3,"fish",0,201491670
14179,"1996-11-05",1996,5,1,5,0,5,"bug",0,201491670
14179,"2016-10-05",2016,5,1,5,0,5,"bug",0,201491670
14179,"2011-07-14",2011,3,1,NA,0,3,"fish",0,201491670
14179,"2011-10-26",2011,5,0.904109589,4,0.095890411,4.904109589,"bug",0,201491670
14179,"2016-06-22",2016,3,1,NA,0,3,"fish",0,201491670
14179,"2006-10-05",2006,4,0.941558442,5,0.0584,4.058441558,"bug",0,201491670
14179,"2010-09-24",2010,5,0.767759563,4,0.232240437,4.767759563,"bug",0,201491670
14181,"1993-10-07",1993,5,0.75,6,0.25,5.25,"bug",0,201493735
14182,"1993-10-07",1993,5,1,5,0,5,"bug",0,201493735
14183,"2016-10-18",2016,4,1,4,0,4,"bug",0,201494833
14183,"2011-10-26",2011,4,1,4,0,4,"bug",0,201494833
14183,"1992-07-30",1992,3,1,NA,0,3,"fish",0,201494833
14183,"1996-11-13",1996,3,1,3,0,3,"bug",0,201494833
14183,"2006-08-30",2006,3,0.5,4,0.5,3.5,"fish",0,201494833
14183,"2011-06-15",2011,4,1,NA,0,4,"fish",0,201494833
14183,"2006-09-27",2006,3,1,3,0,3,"bug",0,201494833
14183,"2014-09-23",2014,3,0.5,4,0.5,3.5,"bug",0,201494833
14184,"2019-08-20",2019,4,1,NA,0,4,"fish",0,201496324
14186,"1991-07-15",1991,3,0.955304929,4,0.04469507,3.044695067,"fish",0,201496076
14186,"2006-09-19",2006,3,1,3,0,3,"bug",0,201496076
14186,"2016-10-28",2016,3,0.65151515,2,0.348484848,2.651515147,"bug",0,201496076
14186,"2016-07-15",2016,3,1,NA,0,3,"fish",0,201496076
14186,"1996-11-07",1996,2,1,2,0,2,"bug",1,201496076
14186,"2019-07-08",2019,3,0.68181818,2,0.318181818,2.681818176,"fish",0,201496076
14187,"2009-06-24",2009,3,0.86206897,2,0.137931034,2.862068979,"fish",0,201494447
14187,"1998-10-29",1998,2,0.717391304,3,0.282608696,2.282608696,"bug",1,201494447
14187,"2012-10-15",2012,3,1,3,0,3,"bug",0,201494447
14187,"2008-10-09",2008,3,0.976190476,2,0.0238,2.976190476,"bug",0,201494447
14187,"1989-07-12",1989,5,0.67915309,3,0.320846906,4.358306167,"fish",0,201494447
14187,"2012-07-11",2012,2,0.520255864,3,0.47974414,2.479744147,"fish",1,201494447
14188,"1997-10-24",1997,4,0.647727273,3,0.352272727,3.647727273,"bug",0,201493812
14188,"2002-10-04",2002,4,0.791666667,3,0.208333333,3.791666667,"bug",0,201493812
14188,"2000-10-06",2000,3,0.5,4,0.5,3.5,"bug",0,201493812
14188,"1999-10-12",1999,4,1,4,0,4,"bug",0,201493812
14188,"1995-10-11",1995,4,1,4,0,4,"bug",0,201493812
14188,"2001-10-05",2001,4,1,4,0,4,"bug",0,201493812
14188,"1996-11-14",1996,3,1,3,0,3,"bug",0,201493812
14188,"1998-10-02",1998,4,1,4,0,4,"bug",0,201493812
14188,"1993-10-06",1993,4,0.53271028,3,0.46728972,3.53271028,"bug",0,201493812
14188,"2003-10-17",2003,3,1,3,0,3,"bug",0,201493812
14192,"1999-09-04",1999,4,1,NA,0,4,"fish",0,201490157
14193,"2018-08-07",2018,3,1,NA,0,3,"fish",0,201495755
14193,"2017-08-04",2017,3,0.83333333,2,0.166666667,2.833333323,"fish",0,201495755
14193,"2011-07-29",2011,3,1,NA,0,3,"fish",0,201495755
14193,"2012-07-25",2012,3,0.691176471,4,0.30882353,3.308823532,"fish",0,201495755
14194,"2000-10-16",2000,5,1,5,0,5,"bug",0,201496000
14194,"1990-08-23",1990,3,1,NA,0,3,"fish",0,201496000
14194,"1999-06-22",1999,4,0.8321727,3,0.167827298,3.832172694,"fish",0,201496000
14194,"2018-08-07",2018,3,0.758064516,4,0.24193548,3.241935468,"fish",0,201496000
14195,"2006-07-19",2006,3,1,NA,0,3,"fish",0,201496584
14195,"2006-09-19",2006,4,1,4,0,4,"bug",0,201496584
14195,"2016-06-15",2016,3,0.75,4,0.25,3.25,"fish",0,201496584
14195,"2011-10-25",2011,4,0.58974359,5,0.41025641,4.41025641,"bug",0,201496584
14195,"2013-06-27",2013,3,0.5,4,0.5,3.5,"fish",0,201496584
14195,"2008-10-02",2008,4,1,4,0,4,"bug",0,201496584
