staSeq,date,reachLen,totalInd,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
16393,1988-06-15,50,264,1988,1,1,NA,0,1
16764,1988-06-17,150,75,1988,4,0.9,5,0.1,4.1
16540,1988-06-17,100,391,1988,5,1,NA,0,5
16629,1988-06-20,150,179,1988,4,0.666666667,5,0.33333333,4.333333317
16628,1988-06-20,100,152,1988,2,0.75,3,0.25,2.25
14402,1988-06-21,147,179,1988,4,1,NA,0,4
16539,1988-06-21,100,31,1988,2,0.5,3,0.5,2.5
16758,1988-06-22,116,146,1988,2,0.75,3,0.25,2.25
16377,1988-06-22,100,410,1988,4,1,NA,0,4
16874,1988-06-23,150,151,1988,4,1,NA,0,4
16582,1988-06-23,100,360,1988,3,1,NA,0,3
16114,1988-06-24,100,184,1988,1,1,NA,0,1
16589,1988-06-27,100,360,1988,3,1,NA,0,3
16919,1988-06-27,100,259,1988,4,1,NA,0,4
16903,1988-06-28,50,19,1988,5,1,NA,0,5
16371,1988-06-28,100,197,1988,4,1,NA,0,4
16612,1988-06-28,100,103,1988,3,0.70631068,4,0.29368932,3.293689319
16117,1988-06-29,100,139,1988,1,0.5,2,0.5,1.5
16116,1988-06-29,100,271,1988,2,1,NA,0,2
16487,1988-06-30,100,488,1988,4,0.5,5,0.5,4.5
16901,1988-06-30,50,184,1988,5,1,NA,0,5
16904,1988-07-01,50,68,1988,1,1,NA,0,1
17115,1988-07-01,150,443,1988,3,0.75,4,0.25,3.25
17003,1988-07-05,100,262,1988,5,1,NA,0,5
16665,1988-07-05,80,188,1988,6,1,NA,0,6
16971,1988-07-06,150,712,1988,4,1,NA,0,4
16590,1988-07-06,100,133,1988,4,1,NA,0,4
15703,1988-07-07,154,442,1988,4,0.51470588,3,0.485294118,3.514705873
16918,1988-07-07,100,105,1988,4,1,NA,0,4
17052,1988-07-08,100,182,1988,2,1,NA,0,2
17121,1988-07-11,100,599,1988,3,0.75,4,0.14565943,3.041318855
15701,1988-07-11,100,575,1988,4,1,NA,0,4
16570,1988-07-13,100,645,1988,3,0.99612403,2,0.003875969,2.996124028
15680,1988-07-13,100,262,1988,2,1,NA,0,2
15991,1988-07-14,100,468,1988,4,1,NA,0,4
16899,1988-07-18,150,275,1988,2,1,NA,0,2
16902,1988-07-25,100,236,1988,2,0.77966102,1,0.220338983,1.779661023
16489,1988-07-25,100,220,1988,1,1,NA,0,1
16389,1988-07-26,150,749,1988,5,1,NA,0,5
15240,1988-07-27,150,352,1988,3,1,NA,0,3
16938,1988-08-01,150,517,1988,5,1,NA,0,5
14465,1988-08-02,150,393,1988,3,1,NA,0,3
16569,1988-08-03,100,352,1988,3,0.625,2,0.375,2.625
16082,1988-08-03,150,414,1988,3,1,NA,0,3
17029,1988-08-04,50,83,1988,1,1,NA,0,1
17088,1988-08-04,50,91,1988,2,1,NA,0,2
16502,1988-08-05,100,247,1988,4,0.63663968,3,0.363360324,3.636639692
16501,1988-08-05,100,215,1988,2,1,NA,0,2
16841,1988-08-08,50,78,1988,5,0.756410256,6,0.24358974,5.243589722
15171,1988-08-09,150,655,1988,3,1,NA,0,3
16962,1988-08-10,100,486,1988,4,1,NA,0,4
14384,1988-08-10,50,76,1988,4,1,NA,0,4
16566,1988-08-11,145,276,1988,3,1,NA,0,3
15700,1988-08-11,100,429,1988,4,1,NA,0,4
16763,1988-08-15,150,370,1988,4,1,NA,0,4
