staSeq,locationName,locationDescription,locationType,ylat,xlong,stateCd,munName,subBasin
17248,A2,Willets Point,Estuary,40.800833,-73.787333,NY,NEW YORK  NY,0
17249,A4,Execution Rocks,Estuary,40.8725,-73.734167,NY,NORTH HEMPSTEAD  NY,0
17216,38,unknown,Estuary,40.8793,-73.7188,NY,NORTH HEMPSTEAD  NY,0
17250,B3,Rye Beach,Estuary,40.918333,-73.642833,NY,OYSTER BAY  NY,0
17256,15,Smithtown Bay,Estuary,40.931333,-73.221167,NY,SMITHTOWN  NY,0
17218,2,Bayville Bridge,Estuary,40.934667,-73.600667,NY,OYSTER BAY  NY,0
17220,4,Oyster Bay/ Lloyd Point,Estuary,40.937833,-73.519333,NY,OYSTER BAY  NY,0
17223,7,South Norwalk,Estuary,40.950333,-73.425333,CT,NORWALK,0
17225,10,Northport Bay,Estuary,40.951667,-73.3325,NY,HUNTINGTON  NY,0
17251,C1,Oyster Bay,Estuary,40.955833,-73.580333,NY,OYSTER BAY  NY,0
17222,6,Lloyd Point,Estuary,40.961167,-73.476667,NY,OYSTER BAY  NY,0
17217,1,Great Captain Island/ Greenwich,Estuary,40.963333,-73.623667,CT,GREENWICH,0
17219,3,Stamford Harbor,Estuary,40.979333,-73.560667,CT,GREENWICH,0
17236,25,North Shore Beach,Estuary,40.981,-72.918167,NY,BROOKHAVEN  NY,0
17252,C2,Stamford,Estuary,40.984333,-73.502167,CT,STAMFORD,0
17228,14,Outer Smithtown Bay,Estuary,40.9915,-73.218833,NY,SMITHTOWN  NY,0
17253,D3,Eatons Neck Point,Estuary,40.993833,-73.411333,CT,NORWALK,0
17232,20,Port Jefferson,Estuary,40.994,-73.042333,NY,BROOKHAVEN  NY,0
14645,Long Island Sound,South of Bouy #34 off Greenwich point,Estuary,41.0004,-73.5661,CT,GREENWICH,7000
14644,Long Island Sound,North of Bouy #34 off Greenwich point,Estuary,41.0006,-73.5698,CT,GREENWICH,7000
14643,Captain Harbor/LIS,west of Flat Neck Point,Estuary,41.0017,-73.5918,CT,GREENWICH,7000
17244,33,Roanoke Point,Estuary,41.003833,-72.651167,NY,RIVERHEAD  NY,0
17242,31,Northville,Estuary,41.004167,-72.768333,NY,RIVERHEAD  NY,0
14647,Greenwich Harbor/LIS,East of Round Island Near bouys,Estuary,41.0092,-73.6232,CT,GREENWICH,7000
17221,5,Shippan Point  Stamford,Estuary,41.009333,-73.513667,CT,STAMFORD,0
14648,Long Island Sound,Southeast Breakwater at entrance to Stamford Harbor,Estuary,41.0107,-73.5348,CT,STAMFORD,7000
20143,LIS Trawl 00-22,Eastern LIS - NY,Estuary,41.012,-72.83857,CT,Unknown,0
20566,New City Brook,DS New City Road,River/Stream,41.012496,-72.227206,CT,STAFFORD,3103
14642,Greenwich Cove/LIS,Northeast side Greenwich Island,Estuary,41.0128,-73.5766,CT,GREENWICH,7000
14646,Stamford Harbor/LIS,south of entrance to harbor/breakwater,Estuary,41.0143,-73.5366,CT,STAMFORD,7000
17258,F3,Crane Neck  NY,Estuary,41.017833,-73.1445,NY,BROOKHAVEN  NY,0
17255,E1,Nissequogue River Entrance,Estuary,41.019333,-73.291333,CT,WESTPORT,0
16145,Horseneck Brook,at Bridge Street  Idlewild  and Prospect Streets,River/Stream,41.022,-73.6328,CT,GREENWICH,7409
