staSeq,hydroID,comment
14126,201496904,
14128,201493421,
14129,201495297,
14130,201494586,
14132,201489066,
14133,201489136,
14137,201492502,
14138,201495872,
14139,201495872,
14141,201487754,
14145,201493559,
14146,201496101,
14147,201488625,
14148,201491607,
14150,201497248,
14152,201489052,
14153,201493772,
14156,201496901,
14157,201496747,
14158,201492736,
14162,201494387,
14164,201494587,
14165,201493580,
14168,201496121,
14169,201496121,
14172,201496121,
14174,201494448,
14175,201491547,
14176,201491547,
14177,201491547,
14179,201491670,
14181,201493735,
14182,201493735,
14183,201494833,
14184,201496324,
14186,201496076,
14187,201494447,
14188,201493812,
14192,201490157,
14193,201495755,
14194,201496000,
14195,201496584,
14196,201496537,
14197,201491761,
14198,201491291,
14199,201488607,
14201,201497080,
14202,201497080,
14205,201487876,
14206,201486242,
14207,201484922,
14209,201495008,
14212,201494961,
14214,201486892,
14215,201487329,
14217,201491879,
14221,201495759,
14222,201494223,
14223,201494223,
14226,201494376,
14227,201495646,
14228,201494600,
14229,201495568,
14230,201495568,
14235,201490886,
14237,201490488,
14238,201489051,
14241,201489364,
14242,201489843,
14244,201490463,
14247,201490244,
14248,201495033,
14249,201490718,
14250,201490718,
14251,201491264,
14252,201491943,
14254,201491003,
14256,201491735,
14257,201491735,
14260,201492779,
14261,201492401,
14263,201492401,
14264,201489134,
14270,201489134,
14273,201496202,
14275,201486680,
14276,201486680,
14277,201491281,
14278,201491503,
14280,201495871,
14281,201492526,
14283,201489887,
14284,201494616,
14285,201494575,
14286,201493210,
14288,201493025,
14289,201495814,
14290,201495463,
14293,201497194,
14294,201490493,
14296,201490493,
14298,201496828,
14300,201495433,
14301,201495824,
14303,201487964,
14305,201485445,
14306,201485482,
14308,201495803,
14309,201495045,
14310,201495711,
14311,201491353,
14312,201491506,
14314,201489080,
14316,201493906,
14317,201495520,
14318,201496261,
14319,201492461,
14321,201493560,
14322,201493681,
14323,201494222,
14324,201494512,
14328,201494782,
14329,201494782,
14330,201494999,
14331,201494999,
14332,201495034,
14334,201495224,
14339,201496358,
14341,201491820,
14344,201491889,
