"hydroID","cnt","sum"
201480087,36364,1
201480086,25948,1
201480176,27496,1
201480107,315,1
201480106,11262,1
201480179,5758,1
201480296,15926,1
201480175,9608,1
201480462,36687,1
201480240,17242,2422
201480295,19792,532
201480461,17227,1
201480603,110029,9066
201480452,11989,1
201480636,37162,1237
201480451,15032,1
201480644,18403,1
201480643,17792,1
201480635,17241,2131
201480884,43777,133
201480602,10917,1
201480883,36971,624
201480704,7656,1
201480820,15911,4916
201480703,1014,1
201481013,46495,405
201480839,13611,1
201480949,30920,1
201480821,18713,380
201481139,28759,3811
201481130,50221,3672
201480921,27407,1
201481018,18133,1
201481059,43657,6080
201481088,30297,129
201481017,19346,1
201481022,17564,7425
201480952,21882,1
201481021,13674,4109
201481135,21476,1
201481176,17206,1752
201481100,28414,737
201481169,32529,1048
201481072,13150,111
201481087,11083,1
201481145,14273,1689
201481111,6573,489
201481146,10454,4064
201481129,9914,2113
201481263,12548,3381
201481144,9213,2
201481142,19216,1
201481175,40611,21843
201481278,8398,6914
201481279,6012,4888
201481187,19034,359
201481503,34075,24161
201481404,44895,17888
201481289,5303,245
201481315,118733,1
201481322,38724,1
201481284,16659,4256
201481375,22363,247
201481321,24777,1505
201481290,2843,1
201481634,36662,1
201481310,8415,5217
201481456,46199,1
201481302,443,233
201481296,764,242
201481330,17558,329
201481544,36552,3247
201481435,7808,704
201481373,5648,1231
201481498,28198,13173
201481501,14176,341
201481408,6951,73
201481382,23016,1
201481407,17502,4469
201481502,39242,6503
201481469,18935,1714
201481636,28617,6970
201481500,13181,304
201481478,16848,1
201481514,14416,1
201481651,32919,2037
201481511,20381,7311
201481532,13954,19
201481711,36424,5343
201481455,11906,1
201481627,39219,1
201481574,12247,1
201481635,15984,2013
201481479,10218,1
201481659,19998,9698
201481628,40737,1
201481515,10458,1
201481733,18644,1
201481600,6030,509
201481545,15750,1
201481538,475,1
201481535,5404,1
201481575,10375,1
201481537,31,1
201481642,31331,1
201481667,8423,1
201481825,14367,1179
201481748,11412,1
201481664,27289,1
201481599,10691,1
201481699,13490,2772
201481688,2821,1
201481663,26715,17878
201481665,36643,1
201482016,61147,3568
201481824,29214,6018
201481671,10848,1
201481644,86,1
201481641,9410,686
201481652,3454,1
201481746,9540,1
201481739,9590,5830
201481681,12093,693
201481689,4726,1
201481668,10541,1
201481940,45338,2144
201481648,9232,1
201481682,8337,158
201481740,3478,1711
201481747,4620,1
201481700,15304,2559
201481712,6883,6657
201481732,13946,1
201481741,807,520
201481831,28796,1
201481762,258,1
201481887,22708,14506
201481796,15802,1
201481972,16527,1
201481873,44172,1
201481800,10871,1
201482058,21866,1
201481982,21403,7511
201481902,39274,14377
201481946,56624,14516
201482006,26499,1
201482118,29870,1
201481922,23439,1941
201481912,13828,1
201482256,113864,34537
201481985,18007,1
201481938,6872,6501
201482072,13769,388
201481955,8083,3309
201482031,15223,3913
201481949,1024,1
201482014,49651,883
201481954,16359,4657
201482138,70400,11676
201482005,2272,1774
201482013,7785,420
201481977,495,1
201482137,20649,6475
201482171,20939,1
201481986,442,1
201481990,16364,1
201482012,21894,178
201482037,15779,1402
201482135,13413,1
201482231,25168,12711
201482062,17614,1
201482017,9252,1
201482047,1457,31
201482158,31823,6618
201482055,25960,1
201482249,29038,1
201482103,32837,1
201482041,13037,3833
201482059,1064,1
201482134,19137,619
201482104,866,1
201482145,11596,23
201482117,14961,1
201482286,13963,1
201482175,14241,1
201482159,10919,1
201482177,4072,1185
201482398,47742,3196
201482170,12519,1
201482257,23840,1
201482203,25741,226
201482197,18399,1
201482198,9986,1
201482428,30671,6847
201482434,21186,8063
201482285,49625,1
201482239,14253,6171
201482382,34407,1
201482392,25536,1
201482264,5150,1
201482444,43106,1
201482255,6724,1730
201482314,1884,1
201482329,2710,1048
201482365,20248,1502
201482265,8524,1
201482476,21387,1
201482294,19681,406
201482538,35879,1
201482386,17318,4008
201482317,26009,1
201482333,23727,1
201482369,2917,1
201482505,63517,14508
201482364,10852,3
201482361,11387,1
201482362,10087,1
201482656,30249,1
201482780,32088,1
201482387,347,1
201482692,23462,1
201482670,31521,1
201482435,39206,649
201482556,19616,3665
201482430,34681,4228
201482391,18891,1
201482409,378,2
201482467,26747,84
201482649,28779,6005
201482543,12504,7253
201482456,23061,1162
201482681,25160,3224
201482740,25865,1
201482628,69393,13301
201482548,10015,4698
201482491,9543,1
201482671,32086,1
201482564,11864,1
201482663,9468,5044
201482557,10742,803
201482549,18179,874
201482655,55846,1
201482566,12143,4423
201482715,16322,1
201482735,28755,8045
201482982,43354,3652
201482736,18473,8240
201482650,2565,1606
201482658,7811,1
201482577,170,1
201482585,15571,1
201482627,10956,1
201482983,36323,1
201482709,11281,1
201482714,20063,1
201482686,13883,1818
201482759,4523,1
201482800,5480,1
201482755,5226,2062
201482931,28204,1
201482683,9285,1
201482738,30499,17873
201482687,10858,958
201482747,11724,1
201482716,2883,1
201482786,5918,1
201482910,45669,11988
201482869,14142,1
201482776,16841,1
201482760,779,453
201482781,13876,1
201482801,27890,2397
201482868,12115,1
201482765,9405,1
201482779,3799,1
201482899,17886,1982
201482926,20936,1
201482788,1741,1
201483020,34673,2524
201482819,8623,1
201482919,15128,1
201482838,3725,1
