"HydroID","cnt","turf_1985_sum","turf_1990_sum","turf_1995_sum","turf_2002_sum","turf_2006_sum","turf_2010_sum","turf_2015_sum"
201480086,0,NA,NA,NA,NA,NA,NA,NA
201480087,0,NA,NA,NA,NA,NA,NA,NA
201480106,0,NA,NA,NA,NA,NA,NA,NA
201480107,0,NA,NA,NA,NA,NA,NA,NA
201480175,0,NA,NA,NA,NA,NA,NA,NA
201480176,0,NA,NA,NA,NA,NA,NA,NA
201480179,0,NA,NA,NA,NA,NA,NA,NA
201480240,0,NA,NA,NA,NA,NA,NA,NA
201480295,0,NA,NA,NA,NA,NA,NA,NA
201480296,0,NA,NA,NA,NA,NA,NA,NA
201480451,0,NA,NA,NA,NA,NA,NA,NA
201480452,0,NA,NA,NA,NA,NA,NA,NA
201480461,0,NA,NA,NA,NA,NA,NA,NA
201480462,0,NA,NA,NA,NA,NA,NA,NA
201480602,0,NA,NA,NA,NA,NA,NA,NA
201480603,0,NA,NA,NA,NA,NA,NA,NA
201480635,0,NA,NA,NA,NA,NA,NA,NA
201480636,0,NA,NA,NA,NA,NA,NA,NA
201480643,0,NA,NA,NA,NA,NA,NA,NA
201480644,0,NA,NA,NA,NA,NA,NA,NA
201480703,0,NA,NA,NA,NA,NA,NA,NA
201480704,0,NA,NA,NA,NA,NA,NA,NA
201480820,0,NA,NA,NA,NA,NA,NA,NA
201480821,0,NA,NA,NA,NA,NA,NA,NA
201480839,0,NA,NA,NA,NA,NA,NA,NA
201480883,0,NA,NA,NA,NA,NA,NA,NA
201480884,0,NA,NA,NA,NA,NA,NA,NA
201480921,0,NA,NA,NA,NA,NA,NA,NA
201480949,0,NA,NA,NA,NA,NA,NA,NA
201480952,0,NA,NA,NA,NA,NA,NA,NA
201481013,0,NA,NA,NA,NA,NA,NA,NA
201481017,0,NA,NA,NA,NA,NA,NA,NA
201481018,0,NA,NA,NA,NA,NA,NA,NA
201481021,0,NA,NA,NA,NA,NA,NA,NA
201481022,0,NA,NA,NA,NA,NA,NA,NA
201481059,0,NA,NA,NA,NA,NA,NA,NA
201481072,0,NA,NA,NA,NA,NA,NA,NA
201481087,0,NA,NA,NA,NA,NA,NA,NA
201481088,0,NA,NA,NA,NA,NA,NA,NA
201481100,0,NA,NA,NA,NA,NA,NA,NA
201481111,0,NA,NA,NA,NA,NA,NA,NA
201481129,0,NA,NA,NA,NA,NA,NA,NA
201481130,0,NA,NA,NA,NA,NA,NA,NA
201481135,2102,26,37,46,67,94,94,94
201481139,0,NA,NA,NA,NA,NA,NA,NA
201481142,2219,50,71,87,105,114,115,115
201481144,0,NA,NA,NA,NA,NA,NA,NA
201481145,0,NA,NA,NA,NA,NA,NA,NA
201481146,0,NA,NA,NA,NA,NA,NA,NA
201481169,0,NA,NA,NA,NA,NA,NA,NA
201481175,0,NA,NA,NA,NA,NA,NA,NA
201481176,0,NA,NA,NA,NA,NA,NA,NA
201481187,0,NA,NA,NA,NA,NA,NA,NA
201481263,0,NA,NA,NA,NA,NA,NA,NA
201481278,0,NA,NA,NA,NA,NA,NA,NA
201481279,0,NA,NA,NA,NA,NA,NA,NA
201481284,0,NA,NA,NA,NA,NA,NA,NA
201481289,0,NA,NA,NA,NA,NA,NA,NA
201481290,0,NA,NA,NA,NA,NA,NA,NA
201481296,0,NA,NA,NA,NA,NA,NA,NA
201481302,0,NA,NA,NA,NA,NA,NA,NA
201481310,0,NA,NA,NA,NA,NA,NA,NA
201481315,0,NA,NA,NA,NA,NA,NA,NA
201481321,0,NA,NA,NA,NA,NA,NA,NA
201481322,0,NA,NA,NA,NA,NA,NA,NA
201481330,0,NA,NA,NA,NA,NA,NA,NA
201481373,0,NA,NA,NA,NA,NA,NA,NA
201481375,0,NA,NA,NA,NA,NA,NA,NA
201481382,0,NA,NA,NA,NA,NA,NA,NA
201481404,0,NA,NA,NA,NA,NA,NA,NA
201481407,0,NA,NA,NA,NA,NA,NA,NA
201481408,0,NA,NA,NA,NA,NA,NA,NA
201481435,0,NA,NA,NA,NA,NA,NA,NA
201481455,1067,95,106,123,131,136,134,134
201481456,4159,324,355,403,466,506,506,502
201481469,0,NA,NA,NA,NA,NA,NA,NA
201481478,1556,29,88,96,98,100,100,103
201481479,923,28,28,28,29,29,29,44
201481498,0,NA,NA,NA,NA,NA,NA,NA
201481500,1188,94,98,98,105,105,106,105
201481501,1450,167,178,187,198,207,207,204
201481502,0,NA,NA,NA,NA,NA,NA,NA
201481503,0,NA,NA,NA,NA,NA,NA,NA
201481511,0,NA,NA,NA,NA,NA,NA,NA
201481514,1314,33,46,51,58,86,86,86
201481515,945,39,45,56,59,68,68,62
201481532,0,NA,NA,NA,NA,NA,NA,NA
201481535,485,0,0,0,0,0,0,0
201481537,3,0,0,0,0,0,0,0
201481538,42,0,0,0,0,0,0,0
201481544,0,NA,NA,NA,NA,NA,NA,NA
201481545,0,NA,NA,NA,NA,NA,NA,NA
201481574,1099,57,65,70,79,78,78,76
201481575,937,89,93,93,95,96,98,98
201481599,0,NA,NA,NA,NA,NA,NA,NA
201481600,0,NA,NA,NA,NA,NA,NA,NA
201481627,0,NA,NA,NA,NA,NA,NA,NA
201481628,0,NA,NA,NA,NA,NA,NA,NA
201481634,0,NA,NA,NA,NA,NA,NA,NA
201481635,0,NA,NA,NA,NA,NA,NA,NA
201481636,0,NA,NA,NA,NA,NA,NA,NA
201481641,0,NA,NA,NA,NA,NA,NA,NA
201481642,2909,40,60,69,86,89,89,89
201481644,0,NA,NA,NA,NA,NA,NA,NA
201481648,0,NA,NA,NA,NA,NA,NA,NA
201481651,0,NA,NA,NA,NA,NA,NA,NA
201481652,0,NA,NA,NA,NA,NA,NA,NA
201481659,0,NA,NA,NA,NA,NA,NA,NA
201481663,0,NA,NA,NA,NA,NA,NA,NA
